Address,LAT,LONG,Price_per_perch,Road,City,School,Hospital,index
,6.821145891,79.91836271,12.20,220.00,292.00,2380.00,1419.00,251
,6.820229741,79.91413555,15.93,290.00,453.00,2415.00,978.00,252
,6.855719496,79.88563381,18.19,220.00,566.00,1730.00,3165.00,253
Pepiliyana West,6.857352928,79.88764059,17.53,200.00,338.00,1535.00,2944.00,254
,6.858986354,79.88765867,18.79,300.00,413.00,1357.00,2956.00,255
,6.860081285,79.88539878,18.79,400.00,689.00,1246.00,2920.00,256
,6.856006693,79.88438635,16.16,300.00,698.00,1709.00,2804.00,257
,6.824595498,79.90060768,10.24,270.00,1843.00,3638.00,676.00,258
,6.823058419,79.90160746,10.23,130.00,1876.00,3436.00,650.00,259
,6.823570779,79.90476805,8.33,240.00,1559.00,3257.00,455.00,260
,6.821489314,79.89965628,5.79,350.00,2051.00,3463.00,978.00,261
Werahera South,6.820928918,79.9054937,10.54,400.00,1400.00,2975.00,696.00,262
,6.825248247,79.90156218,8.20,190.00,1767.00,3624.00,653.00,263
,6.838300145,79.89313866,14.31,300.00,1005.00,3633.00,2005.00,264
,6.8393867,79.89474799,19.43,300.00,799.00,3532.00,1958.00,265
,6.839194955,79.89725853,15.82,210.00,741.00,3600.00,1761.00,266
Boralesgamuwa West A,6.838513195,79.89968325,15.95,310.00,769.00,3347.00,1547.00,267
,6.8381084,79.89558484,16.26,270.00,761.00,3686.00,1791.00,268
,6.773371182,79.93673443,11.81,450.00,987.00,3382.00,3767.00,269
,6.773008947,79.93911623,12.14,240.00,1160.00,3550.00,3920.00,270
,6.774777501,79.93885874,11.48,750.00,1218.00,3369.00,2533.00,271
Makandana West,6.773839955,79.9433434,13.54,260.00,855.00,3747.00,3877.00,272
,6.776780435,79.9392879,12.62,300.00,1100.00,3213.00,3563.00,273
,6.80091549,79.93213845,10.77,140.00,809.00,1100.00,1005.00,274
,6.801725629,79.92933675,11.46,200.00,520.00,805.00,710.00,275
Mampe West,6.803070762,79.92696607,16.21,350.00,260.00,616.00,534.00,276
,6.800747348,79.92662741,17.01,210.00,449.00,489.00,627.00,277
,6.801893771,79.92568837,13.87,230.00,331.00,428.00,465.00,278
,6.801177981,79.92767733,5.95,400.00,500.00,450.00,570.00,279
,6.80031603,79.92885341,5.91,450.00,700.00,980.00,730.00,280
Wewala East,6.824564527,79.9098493,6.12,300.00,805.00,500.00,654.00,281
,6.823850788,79.90967764,6.32,350.00,600.00,640.00,770.00,282
,6.821922621,79.90946306,6.44,350.00,700.00,550.00,800.00,283
,6.823690975,79.91256374,19.24,140.00,819.00,2837.00,665.00,284
,6.826311566,79.91441983,18.26,140.00,942.00,2581.00,746.00,285
,6.825928066,79.91123336,13.34,150.00,1101.00,2851.00,546.00,286
Katuwawala South,6.825086495,79.91499919,17.85,150.00,791.00,2649.00,825.00,287
,6.826034594,79.91141575,15.80,120.00,1097.00,2829.00,565.00,288
,6.832451146,79.91098477,12.96,260.00,1412.00,2413.00,701.00,289
Katuwawala North,6.832813336,79.90943982,14.08,260.00,1262.00,2539.00,702.00,290
,6.832429841,79.91034104,10.84,290.00,1363.00,2474.00,960.00,291
,6.832557673,79.91291596,9.47,140.00,1569.00,2228.00,850.00,292
,6.833986393,79.9124664,10.54,190.00,1436.00,2182.00,936.00,293
,6.859764422,79.89099097,16.27,450.00,339.00,1234.00,2599.00,294
Pepiliyana East,6.858209222,79.89214969,18.78,140.00,236.00,1418.00,2450.00,295
,6.85980703,79.89103389,18.22,400.00,344.00,1230.00,2595.00,296
,6.861767,79.89019704,15.40,100.00,561.00,1011.00,2728.00,297
,6.859892246,79.89189219,18.50,280.00,378.00,1229.00,2502.00,298
